Car Name,Special Hook,Description,Sold For,Bid Count,Comment Count,Price Category,Auto Biography
1962 Mercedes-Benz 190 SL (in 121 BII),"German initial delivery, complete history, 15,832 km, matching number, fully restored, motor revision, TÜV new","In this “Sport light” (SL), the presentation of its special features is not exactly made easy: starting with a seamlessly understandable history of this first delivery, through a professional frame-off restoration including the motor revision of the number of 15,832 km running, up to the same numberAlmost every SL enthusiast should conjure up the enthusiasm for the icing on the cake of the color combination and the associated suitcase.The roadster was delivered to a master painter in 1963, who passed him on to his lawyer after only 19 days.After 9 years, the SL was then approved for the wife of the master painter.Interestingly, the license plate always remained the same.In 2018, the vehicle, which has been dismissed for decades, was then bought by the current owner from the heir and fully restored by experts in over 2,500 hours.The special history and first-class work were awarded as the best restoration at the 44th International Oldtimer Meeting in Baden-Baden 2021 and rated Classic Data in October 2021 with a state grade of 1.0.
The 190 SL can be viewed at Classic Expo Salzburg 2021 in Hall 9.","Sold for € 160,000",25 commandments,14 comments,Restored new car condition,"The 190 SL was first admitted to a master painter in Berlin on March 20, 1963 in Germany.As early as 19 days later, however, the SL was approved for its lawyer in Berlin-Friedenau.The latter then gave the vehicle back to the wife of the master painter, who had the SL allowed on June 14, 1972.As early as February 12, 1973, the car was then shut down due to rusting at the suspension points of the rear axle and motted into a Berlin garage.In August 2018, the Mercedes-Benz was then recovered by the seller in the dismantled find and fully restored by November 2019.The SL was occasionally moved by the current owner with a 07 license plate.On June 21, 2021 the TÜV was renewed and the H-approval was issued."
1956 Jaguar XK 140 DHC Cabriolet,"British left handlebars, made for the US market, C-Type cylinder head, D-Type camshaft, original Jaguar motor exchange, 30 years in possession of the seller, unpired, Austrian approval, current pickerl","This XK 140 DHC was produced in 1956 by Jaguar in England, for the US market.The vehicle is equipped with the C-Type cylinder head and comes with the then optional overdrive transmission, which ensures lower consumption and serves to reduce noise and engine.Furthermore, a sharper camshaft from D-Type was installed, so this XK 140 ensures particularly sporty driving fun at high speeds.During a restoration between 1993 and 1994 in England, the specialist John May, the 3.4 liter engine, was exchanged for a stronger 3.8 liter engine.It is an original Jaguar engine, used from 1960 for the XK 150 models.Since the vehicle was built for the North American market, it adapts perfectly to European road traffic due to the left -hand steering.
The Jaguar XK 140 can be visited in Vienna.","Sold for € 135,000",0 commandments,0 comments,Luxury vehicle,"The XK 140 DHC was built in England in 1956 and then delivered to the USA.The first registration for road traffic took place on August 27, 1956.Unfortunately, nothing is known about the time in the USA.He acquired the vehicle in California and exported it to England, where it was restored by specialist John May in Cheltenham between 1993 and 1994.The engine was replaced by an XK 150 3.8L, the technology was optimized, disc brakes at the front and back and new chrome spoke wheels.On May 31, 2000, the Jaguar was imported to Austria and on August 31, 2018 he received an Austrian individual permit.The vehicle has been owned by a specialist and fan for 30 years.He was the founder of the Jaguar Drivers Club in Austria, together with Lofty England, the ex Jaguar CEO."
2013 Lamborghini Gallardo LP 560-4 “50th anniversary Sondermodell”,"Original condition, limited special model, complete history, 25,800 km, TÜV when buying new","This Lamborghini Gallardo LP 560-4 in the limited special edition ""50 Th Anniversary"" is one of the last built Gallardo with a mileage of only 25,000 km.This super sports car is the last model maintenance of the basic model with the coveted 5.2 liter V10 aggregate with direct injection.The key data of this vehicle speak for themselves: 560 PS, 540 Nm, permanent all-wheel drive, 0-100 km/h: 3.7 seconds, registered top speed: 325km/h.The Gallardo in the rare color ""Blu Caelum"" was delivered to Kuwait in 2013 and there was a pilot of the Qatar Airways.At the end of 2019, the vehicle was imported to Germany and after great service and TÜV full acceptance in June 2020, approved to the current owner.
The vehicle can be visited in Schwetzingen near Heidelberg.","Sold for € 90,000",4 bids,3 comments,Luxury vehicle,"This Gallardo LP 560-4 was first ""Blu Caelum"" in the very rare color ""Blu Caelum"" and extensive equipment on August 26, 2013 in Kuwait.The first owner, a captain of Qatar-Airlines, donated a complete, transparent film to protection against stone strikes and UV radiation to the Gallardo.At the end of 2019, the vehicle was brought to Germany by the current owner.In early 2020, he had a German full acceptance at sports car professional Jens Hoffmann.A large service was carried out below and the vehicle was subsequently registered in the name of the seller.Since then, the vehicle has only been moved occasionally and is dry in a hall."
2012 BMW M3 Coupé (E92),"German initial delivery, new factory car with only 292 km, exhibit, complete history, variable M differential lock, original condition, TÜV NEW","This BMW M3 produced in 2012 is something very special, because it is in an almost brand new condition.As a factory car with no 300 km mileage, this two-door coupé still had no chance of properly running the quickly switching automated 7-speed dual clutch transmission and the variable M differential lock, which came onto the market with this model.The lock provides both high driving stability and optimal traction, especially out of curves and lives up to the BMW born from racing.
The coupé can be viewed in Fröndenberg/Ruhr.","Sold for € 85,000",23 bids,7 comments,Luxury vehicle,"The coupé was delivered to the Bavarian Motors Works Aktiengesellschaft in Munich and received the first registration for road traffic on October 9, 2012.The M3 was then exhibited as a BMW flagship and used as a show model.On January 10, 2014, the M3 was first deregistered to be deregistered by the current owner after a short admission with season license plates on February 10, 2020.The BMW received a new full acceptance from DEKRA on May 19, 2020.A new TÜV acceptance is carried out for the sale."
No minimum price: 1995 Hotzenblitz Buggy,"First German electric vehicle, advertising vehicle from Tengelmann collection and exhibit, low mileage, original condition","The Hotzenblitz was the first to produce and sell in Germany until 2013, which was produced and sold in series.Visually, he was considered the forerunner of the smart, technically speaking, he drove 100% electrically and was the only of its kind almost 30 years ago. In 1993 Hotzenblitz Mobile GmbH was founded, which the e-mobile in the work of the former moped manufacturer Simson inShould manufacture Suhl.Many of the technical achievements that appear today, such as recuperation, were already planned in the Hotzenblitz back then.In terms of performance and consumption, he was also able to show considerable values compared to today's electric vehicles.It combines with its range between 60 to 150 km ecological and sporty driving pleasure and is a retro future mobile with cult status.
The Hotzenblitz can be visited in Einbeck.","Sold for € 6,700",19 commandments,29 comments,Entry -level,"The Hotzenblitz was first registered for the Tengelmann goods trade group for road traffic in 1995.Later there was a change of keeper to the Tengelmann group, with the Hotzenblitz still only had an actual previous owner.In 2012, the vehicle came to the Tengelmann Musuem ""Technikum"" in Mühlheim an der Ruhr.Then the deregistration was deregistered and the Hotzenblitz was acquired by the current owner in 2019 as part of the dissolution of the Tengelmann collection."
1973 Chrysler Mopar Plymouth Duster 360,"US import, complete restoration, 360 V8 engine with 5.9 liter displacement, Edelbrock carburetor, automatic transmission, H license plate, TÜV NEW","The duster was a variant of the Valiant model, which Chrysler made under the brand name Plymouth from 1970 for six years.The model of the year of construction in 1973 received a new bonnet, a new grille and new rear lights.In addition, the interior was improved in this model.The last duster was made in 1976.Today the model series is one of the affordable muscle cars from the 1970s and they bring a piece of beautiful American automotive history on the German roads.
The Plymouth Duster can be visited in Lehrte.","sold for € 22,000",7 bids,0 comments,Classic everyday,"The Plymouth was first approved for road traffic on March 18, 1973.Nothing is known about the owners from this time.The car was completely restored by Manhardt Performance from Wuppertal for the company owner about 14 years ago, unfortunately there are no more documents.After that, the coupé was owned by another private person in Germany and was always maintained and little driven.On October 5, 2021, the current owner bought the vehicle."
2008 Pamo with Aqda,"German first delivery, V8 engine, original state, current TÜV","The M3 has been a particularly powerful variant of the respective 3 series model since the 1980s. Since 1988, the vehicle has also been manufactured by the BMW subsidiary BMW M GmbH as a convertible (E93).The inspiration and ultimately also many components come from racing, the series thus has numerous technologies that have their origin in Formula 1 and has both a sporty look and technically outstanding performance.
The M3 Cabriolet can be viewed in Nagold.","Sold for € 29,500",9 commandments,1 comments,Classic everyday,"The M3 Cabriolet was produced in September 2008 in the BMW Work of Regensburg.The first registration for road traffic took place on October 7, 2008.The vehicle is currently in possession of a private person, had four other owners and was only approved in Germany."
1997 Bamo with A.A. Give,"German first delivery, manual gearbox, automatic climate automatic, new engine, extensive service, TÜV 7/23","M3 from the E36 series are very popular.The sports coupé, built from 1992 to 1999, is now an absolute cult vehicle.The second generation of the top model should address a wider target group.The 3.2-liter in-line six-cylinder with 321 hp under the hood and a maximum of 320 Nm torque is the strongest engine of the series.This version of the two -door sporty sport is also called ""Evo"" or ""Evolution"" in the English -speaking world.
The M3 Coupé can be visited in Nagold.","Sold for € 32,000",14 commandments,0 comments,Classic everyday,"The M3 Coupé was produced on May 28, 1997 in the BMW M plant in Regensburg.The first registration for road traffic took place on June 6, 1997.The vehicle was registered in Germany continuously."
2006 Mercedes-Benz G55 AMG compressor (G-Class),"Japanese initial delivery, high-performance SUV, limited AMG variant with handmade 5.4l V8 (476 PS & 700 NM), off-road vehicle with permanent all-wheel drive, long version, sliding roof, luxurious equipment, current TÜV to 04/2025","The Mercedes-AMG G55 is a high-performance SUV developed by Mercedes-Benz in cooperation with the AMG performance department.The G55 is powered by a powerful 5.4 liter V8 engine handmade and handmade and was equipped with a compressor.This leads to its characteristic V8 sound, as well as impressive performance data of 476 hp and a torque of 700 Nm.The G55 AMG is not only known for its high performance on the street, but also for its suitability for off -road, the vehicle has a robust all -wheel drive system and was developed in particular for use in the field.Due to its high -performance character and the limited number of pieces, the vehicle is quite exclusive and a luxurious fun mobile and exciting collector's item at the same time.There is still a current TÜV and the service booklet for the G55 AMG.
The AMG G55 can be viewed in 72555 Metzingen.",minimum price not reached,20 commandments,0 comments,Luxury vehicle,The vehicle presented here was first delivered to Japan in 2006 and remained there until the import to Germany in 2017. Since then it has been owned by the current seller.
1969 Cadillac DeVille Cabriolet (Convertible),"Luxury automotive, iconic design, rare convertible variant, powerful 7.7l V8 with 375 hp, 63,200 km, el. Window lifter, air conditioning, good condition, since 1993 in Austria, currently kept as a collector's object","Pure Extravagance - The Cadillac Deville came onto the market in 1959 and was already considered the epitome of the American luxury automobile.It is particularly well known through its excessive and distinctive design with dramatic rear fins, a prominent radiator grille and generous use of chrome decorations.The overall design of the car was heroic and unmistakably reflects the styling trends of the late 1950s and 60s.It was equipped with a powerful V8 engine, the engines of this era stood for quality and robust performance.Deville has reached an icon status in the automotive world today and, like no other, is a symbol of the abundance and the distinctive design of his era.Due to its importance and limited production, the Cadillac Deville is very much in demand for collectors and automotive enthusiasts, especially the convertible variant, as well as the vehicle presented here.
The Cadillac Deville can be visited in 4332 AU on the Danube, Austria.",minimum price not reached,7 bids,0 comments,Classic everyday,"This red Cadillac Cabriolet with a beige fabric cow was built in 1969 in the USA, the Austrian individual permit gained in 1993 in 1993 and subsequently ran in and around Salzburg.Until April 2016, only two owner families had the vehicle, since then the convertible has been owned by a Viennese entrepreneur who has invested extensively in the vehicle and has been kept as a collector's item since then."
1975 Alpine Renault A110 1300 VC Berlinette (A110),"A little kilometer, re -painting in a very rare color, contemporary tuned, numerous modifications, understandable history, motor revision before 1000 km, extensive service","The Alpine A110 is the epitome of an uncompromising sports car from the 60s and 1970s.Despite the long construction period, only around 7,500 copies ran from the tape to Dieppe.It is hardly known that in addition to the iconic two-seater Berlinette, Cabrios and as A110 GT4 2+2-seat sports coupes were manufactured.Not least because of the lightweight construction - the body is made of fiber optic - the Berlinette celebrated great success, especially in rallying.The victories in the Rallye Monte Carlo and the winning of the World Cup in 1971 and 1973 are mentioned here.Cooperation in racing with Renault has developed over the years.The French car manufacturer took over more and more shares from Alpine, so that from 1967 the name ""Alpine Renault"" appeared for the first time.From the beginning, a Renault engine in the rear worked in the A110 with remarkable performance up to 186 hp.The flat body shows that the A110 is a purebred sports car: the light skin made of glass fiber spans a central tube frame.The Alpine A110 offered here was already one of the late copies of the ""rally flounder"" in 1975 and only has a good 38,000 km on the speedometer.The peculiarities are the rare color yellow, in which the vehicle was also delivered, because the racing car is known primarily in different shades of blue.In addition, there is a fine contemporary tuning of the engine and the wide building with beautiful deep bed rims from Gotti.Further conversions on the mechanics were carried out with the aim of further improving the car.So it is a very rare and well -kept copy.
The Alpine A110 can be viewed in 61209 Echzell.",minimum price not reached,18 commandments,0 comments,Luxury vehicle,"The Alpine A110 1300 Berlinette was first approved for traffic on April 3, 1975.There were three changes in ownership in the following three years.The 4th owner retained the flounder until the end of the 1990s, with the car being deregistered for 10 years during this time.In February 1998, the current owner acquired the Alpine A110 and has had it for 25 years.During this time, the rally classic was moved and maintained with a 07 license plate.The classic car lover only wants to separate from the French sports equipment for health reasons."
1993 BMW 850 CSI Sport-Coupé (E31),"Italian initial delivery, rare sports coupé version of the E31 (1,510 copies), extremely strong V12 with 380 hp, electric sliding roof & luxurious special equipment, H report, TÜV and value report new when buying","This BMW 850 CSI is a special high-performance coupé that was produced in extremely small number of only 1,510 copies by BMW Motorsport GmbH from 1992 to 1996.The model is very popular for its elegant, but also striking and aggressive design including the characteristic, fold-out headlights, as well as its outstanding driving and performance properties with 380 hp and 550 Nm at 4000 rpm.A ride in the 850 CSI promises impressive acceleration, luxurious comfort and unforgettable driving experiences.An electric sliding roof and the extensive equipment make this model even less common.The possible H license plate and a value report from 2018 (when buying new) with the classification 2+ also make the Power Coupé a rare classic car and an exciting collector's item with a racing sporting fun guarantee.
The BMW 850 CSI can be viewed in 78183 Hüfingen.",minimum price not reached,19 commandments,0 comments,Luxury vehicle,"The vehicle presented here was manufactured on November 9, 1993 and then delivered to Italy for the first time.It remained there until the subsequent export to Germany in 2009. During this time there was only one previous owner according to the available documents.It remained there until the subsequent export to Germany in 2009, from this point on all documents exist.After an owner in Germany, the vehicle has been owned by the seller since 2013 and is kept as a lover."
1974 VW Karmann Ghia Cabriolet (Type 14),"First delivery to the USA, Cabriolet version, most powerful engine version (type 1600), extensively & professionally restored including body and drive unit, value report with grade 2, H license plate, current TÜV","The convertible presented here is the particularly elegant variant of the popular sports car model VW Karmann Ghia.A timeless and fine lines with Italian fair, a 1.6-liter four-cylinder boxer engine (highest motorization, only from 1970) and a manually usable and high-quality cover make the model a great combination of style and driving fun.The production, which was also handcrafted at the time, finally ended in Osnabrück after 19 successful production years in 1974. The copy presented here was one of the last models in the series before the successor VW Scirocco appeared.As a result, the model presented here also has all the innovations that took place over the course of 1974.Well -equipped and preserved GHIA Cabriolets are now coveted classic cars who are particularly valued for their nostalgic flair, which are valued at processing quality and craftsmanship and are a symbol for a significant part of German and Italian automotive history.The vehicle still has a vehicle rating from 2023 with the classification grade 2, as well as a currently valid TÜV from April 2022 and the H license plate.
The Ghia Cabriolet can be visited in Lübeck.",minimum price not reached,8 commandments,0 comments,Classic everyday,"The vehicle presented here was manufactured and delivered for the USA in 1974 and remained there until the subsequent transfer to England in the late 1990s.Unfortunately, there is no more precise information about the previous owners to date, which have been documented again since the introduction to Germany in 2009.The vehicle has been owned by the seller since 2012, the sale is currently being made due to a lack of use for health reasons."
1983 BMW 628 CSI,"German first delivery, cruise control, sliding roof, understandable history, few owners, H-mark, TÜV to 04/24","The BMW 628 CSI is characterized by its elegant and sporty design.The E24 series is known for its slim profile, the characteristic Hofmeister kinking line in the C-pillar and the famous double headlight front section.The coupé has a timeless appearance and exudes elegance and performance.
The BMW can be visited in Munich.",minimum price not reached,3 bids,0 comments,Classic everyday,"The BMW was first registered for German road traffic on April 28, 1983.The first owner, a private person, drove the car until 2008.He was then bought as a collector's object in October 2008.The current owner acquired the car in April 2021."
1960 Austin-Healey 3000 (MKI BT7),"Probably British initial delivery, manual transmission, new painting in original color, right -handed, current service work, TÜV 10/2024","Only 5,920 pieces were made by this model of the Austin Healey.The model designation BT7 indicates the 2 plus 2-seater.The displacement was enlarged to 2912 ccm compared to the predecessor and the front wheels were equipped with disc brakes.The Austin-Healey 3000 were also successful in motorsport at the time and took part in various races and rally.The British roadster is small, handy and convinces with a robust engine noise.The wooden steering wheel and the 1960s interior make it a sports car with class and style.
The Austin Healey can be visited in Cologne.",minimum price not reached,7 bids,1 comments,Classic everyday,"The Austin Healey was first registered for road traffic on May 1, 1960.Unfortunately, nothing is known about the first owner and any other ownership relationships from this time.The vehicle was registered in Germany from 1979 to 2010.During this time there were five other previous owners in addition to the current owner."
1987 porcin Jachch with Targa 16 in,"German initial delivery, low mileage, 2nd hand, comprehensible history, extensive service, TÜV by September 2024","In August 1986, the Porsche 944 was supplemented by the 944 S, which now had an output of 140 kW or 190 hp due to the 16V technology with the same displacement of 2.5 liters.A total of 7,324 vehicles of this type were manufactured, a fraction of it still moves in German road traffic today.The characteristic folding headlights made him one of the most successful sports cars of his time.
The Porsche 944 S Targa can be visited in Hohenhameln.","Sold for € 27,000",15 bids,6 comments,Classic everyday,"The 944 S was first approved for German road traffic on August 28, 1987.The sports car was in the long -term ownership of a private individual and had been deregistered since 2004.In October 2020, the current owner bought the vehicle."
1987 Golf II 1.8 CAT (19E),"A little kilometer, almost virgin interior, comprehensible history, professional restoration, deeper, rims in BBS look, extensive service, TÜV new","The Golf 2 has long since matured from the ubiquitous car for all classes to a timeless classic car.In contrast to the predecessor, his body is well corrosion -protected, the technology is rock solid.It was available as an entry -level model with three doors and 55 hp to the 110 hp and coveted GTI.The wide C-pillar is characteristic of the Golf to this day.Technically, the Wolfsburg -based company also convinced through the front engines with front engine.The Golf 2 presented here with built in 1987 has the 1.8 liter engine with the identifier GX, i.e. basically the same engine as the GTI and with unregulated catalyst.The VW classic here is primarily not about performance, but about a beautiful and harmonious overall picture.The car was restored by the current owner, a body builder, and almost completely repainted.In addition, there was a lowering and a subtle widening of the wheel arches, aluminum rims in the BBS look and a GTI sports exhaust, which had become necessary, complete the overall package.The professionally cleaned interior is in its original condition.
The Golf II 1.8 can be viewed in Büchlberg.",minimum price not reached,4 bids,8 comments,Classic everyday,"The Golf was approved on September 2, 1987 in Albstadt/Zollernalbkreis by the first owner with born in 1922.The car was sold to a 50-year-old driver in October.The car retained the car, although the resident of the second owner Haigerloch was specified.On March 29, 2000, the Golf II was rewritten to the 3rd owner.It should be the wife of the previous owner, as the data in the old letter show.Balingen-Frommern is given as the residence.The car was sold again: On August 15, 2019, the car was rewritten to a driver in Walldorf.Since 01.09.2022, the Golf has been registered for the current owner after an extensive restoration.After the rejuvenation cure, the interior shines like new.Visually, the previous ""senior car"" was upgraded by widening, chic wheels and much more."
